LandType,Price,Neighborhood,Building,Address,Sold Price,Sold Date,Beds,Bath,Living Sq Ft,Parking,Lanai,Pets,Floor,Year,List Date,Days,Condition,Tax,Maint. Fee,Elementary,Junior High,High,Flood Zone,View,Frontage,Flooring
FS,"$849,900 ",West Marina,Kalele Kai,1 Keahole Place 1104,"$825,000 ",9/17/2014,2,2,"1,427",2,265,Yes,1,1993,6/2/2014,108,Excellent,$146 ,$748 ,Hahaione,Niu Valley,Kaiser,Zone D,"Garden,Marina/Canal,Mountain,Sunrise",Marina,"Laminate,Other"
FS,"$725,000 ",West Marina,Kalele Kai,1 Keahole Place 3110,"$733,000 ",9/12/2014,2,2,"1,427",2,265,Yes,1,1993,4/11/2014,154,Above Average,$137 ,$747 ,Hahaione,Niu Valley,Kaiser,Zone D,Garden,,"Ceramic Tile,Hardwood,Laminate,Marble/Granite,W/W"
FS,"$570,000 ",West Marina,Marina Palms,6221 Keokea Place 133,"$563,000 ",9/9/2014,2,1,888,2,89,Yes,1,1966,7/15/2014,56,"Above Average,Excellent",$137 ,$491 ,Hahaione,Niu Valley,Kaiser,Zone AE,"Marina/Canal,Mountain",Marina,Hardwood
FS,"$689,000 ",West Marina,Colony At The Penins,520 Lunalilo Home Road 7106,"$689,000 ",9/5/2014,3,2,"1,457",2,121,Yes,2,2005,6/3/2014,97,Excellent,$179 ,$790 ,Koko Head,Niu Valley,Kaiser,Zone AE,Mountain,Marina,Other
FS,"$549,000 ",West Marina,Lalea At Hawaii Kai ,7080 Hawaii Kai Drive 3,"$555,000 ",9/4/2014,2,2,908,2,0,Yes,1,1996,7/18/2014,48,Excellent,$116 ,$321 ,Hahaione,Niu Valley,Kaiser,Zone D,Mountain,,"Ceramic Tile,Laminate"
FS,"$495,000 ",Hahaione-lower,Mauna Luan,531 Hahaione Street 6C,"$480,000 ",9/2/2014,2,2,"1,211",2,0,No,6,1975,7/22/2014,42,Average,$130 ,$683 ,Hahaione,Niu Valley,Kaiser,Zone D,"Marina/Canal,Mountain",Other,"Ceramic Tile,W/W Carpet"
FS,"$399,900 ",Hahaione-lower,Commodore,555 Hahaione Street 4D,"$399,900 ",8/29/2014,1,2,"1,019",2,62,Yes,4,1982,6/24/2014,66,Excellent,$70 ,$764 ,,,,Zone D,"Garden,Mountain",,"Ceramic Tile,Laminate,W/W Carpet"
FS,"$465,000 ",Hahaione-lower,Heritage House Hawai,6710 Hawaii Kai Drive 114,"$460,000 ",8/29/2014,2,2,"1,208",2,0,No,1,1974,12/11/2013,259,Average,$98 ,$680 ,Hahaione,Niu Valley,Kaiser,Zone D,Garden,,"Ceramic Tile,W/W Carpet"
FS,"$555,000 ",Mariners Valley,Mariners Village 3,1096 Wainiha Street E,"$565,000 ",8/29/2014,3,2.1,"1,356",2,220,Yes,2,1971,7/11/2014,46,"Above Average,Excellent",$157 ,$457 ,Kamiloiki,Niu Valley,Kaiser,Zone D,"Garden,Mountain,Sunrise",Conservation,"Ceramic Tile,Laminate,W/W Carpet"
FS,"$509,000 ",Hahaione-lower,Mauna Luan,531 Hahaione Street 14D,"$490,000 ",8/27/2014,2,2,"1,303",2,0,No,14,1975,5/10/2014,105,Above Average,$139 ,$796 ,Hahaione,Niu Valley,Kaiser,Zone D,"Marina/Canal,Mountain,Ocean",Other,"Ceramic Tile,W/W Carpet"
FS,"$750,000 ",West Marina,Moana Kai,7012 Hawaii Kai Drive 606,"$740,000 ",8/25/2014,3,2.1,"1,725",2,42,Yes,1,2005,6/4/2014,7,Excellent,$175 ,$422 ,Hahaione,Niu Valley,Kaiser,Zone D,"Garden,Mountain",Other,"Ceramic Tile,Hardwood,W/W Carpet"
FS,"$539,000 ",Mariners Valley,Mariners Village 3,1006 Awawamalu Street C,"$539,000 ",8/22/2014,3,1.1,"1,093",2,504,Yes,1,1971,7/1/2014,54,Above Average,$131 ,$457 ,Kamiloiki,Niu Valley,Kaiser,Zone D,"Garden,Mountain",,"Ceramic Tile,W/W Carpet"
FS,"$618,000 ",Hahaione-lower,Plaza Hawaii Kai,6770 Hawaii Kai Drive PH1508,"$618,000 ",8/19/2014,2,2,"1,030",2,89,Yes,14,1974,5/1/2014,110,Above Average,$129 ,$625 ,Hahaione,Niu Valley,Kaiser,Zone D,"City,Coastline,Diamond Head,Ocean,Sunset",,"Marble/Granite,W/W Carpet"
FS,"$549,000 ",Hahaione-lower,Plaza Hawaii Kai,6770 Hawaii Kai Drive 23,"$550,000 ",8/18/2014,2,2,"1,177",2,484,Yes,2,1974,5/12/2014,100,Excellent,$114 ,$714 ,Hahaione,Niu Valley,Kaiser,Zone D,"Garden,Mountain,Sunrise",Other,"Ceramic Tile,Laminate,W/W Carpet"
FS,"$888,888 ",West Marina,Peninsula At Hawaii ,520 Lunalilo Home Road 340,"$881,400 ",8/18/2014,3,2.1,"1,464",2,0,Yes,1,2002,3/3/2014,151,Above Average,$221 ,$534 ,Koko Head,Niu Valley,Kaiser,Zone AE,"Marina/Canal,Mountain","Marina,Waterfront","Ceramic Tile,Laminate,W/W Carpet"
FS,"$528,000 ",Hahaione-lower,Heritage House Hawai,6710 Hawaii Kai Drive 1114,"$528,000 ",8/14/2014,2,2,"1,299",2,0,No,11,1974,7/1/2014,44,Excellent,$142 ,$680 ,Hahaione,Niu Valley,Kaiser,Zone D,"Marina/Canal,Mountain,Ocean",,Hardwood
FS,"$549,000 ",Mariners Valley,Mariners Village 3,1100 Wainiha Street E,"$562,000 ",8/14/2014,3,2.1,"1,356",2,220,Yes,2,1971,6/5/2014,70,Excellent,$126 ,$457 ,Kamiloiki,Niu Valley,Kaiser,Zone D,Mountain,,"Ceramic Tile,W/W Carpet"
FS,"$598,000 ",West Marina,Colony At The Penins,520 Lunalilo Home Road 8106,"$594,000 ",8/14/2014,2,2,"1,345",2,87,Yes,1,2004,5/8/2014,96,Excellent,$139 ,$746 ,,,,Zone AE,Garden,,"Ceramic Tile,W/W Carpet"
FS,"$700,000 ",West Marina,Hale Makani Kai,427 Kawaihae Street 104,"$735,000 ",8/14/2014,3,1.1,"1,350",4,370,Yes,1,1967,6/24/2014,14,Excellent,$160 ,$20 ,Hahaione,Niu Valley,Kaiser,Zone D,"Marina/Canal,Mountain,Sunrise,Sunset","Marina,Stream/Canal,Waterfront","Ceramic Tile,Laminate"
FS,"$710,000 ",West Marina,Mt Terrace,250 Kawaihae Street 1A,"$710,000 ",8/14/2014,2,2,"1,644",2,0,No,1,1974,6/23/2014,52,Excellent,$147 ,"$1,225 ",Hahaione,Niu Valley,Kaiser,Zone D,"City,Coastline,Marina/Canal,Mountain,Ocean,Sunrise",,"Ceramic Tile,Hardwood,W/W Carpet"
